baseline_candidate_id,split_item_id,flyer_id,parent_company,banner,region,week_start,week_end,source_file,raw_product_text,split_product_text,baseline_price,package_text,package_size_min,package_size_max,package_unit,price_basis,baseline_source,evidence_text,confidence,status,review_reasons
6a000702f94e,470c5d5b2609,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,Green or Red Seedless Grapes,Green,4.99,,,,,per_lb,flyer_everyday_price,Member Price Every Day,0.75,candidate,
54e44deccf71,a2ae03390873,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,Green or Red Seedless Grapes,Red Seedless Grapes,4.99,,,,,per_lb,flyer_everyday_price,Member Price Every Day,0.75,candidate,
557b07943398,8e43e278f6f5,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,Hass Avocados,Hass Avocados,2.0,Each,1.0,1.0,count,multi_buy,flyer_everyday_price,2/$4 Member Price Every Day,0.75,candidate,
26c4d69cc66e,dad4137f46c0,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,Lemon,Lemon,1.5,,2.0,2.0,count,multi_buy,flyer_everyday_price,Every Day 2/$3 Member Price,0.75,candidate,
cc5bac2e5364,186022ee2973,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,Yellow Peaches or Nectarines,Yellow Peaches,4.49,,,,,per_lb,flyer_everyday_price,Every Day,0.75,candidate,
9262766519a8,fbd95c0405e7,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,Yellow Peaches or Nectarines,Nectarines,4.49,,,,,per_lb,flyer_everyday_price,Every Day,0.75,candidate,
be3e233a6ed8,65f8524e9742,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,Simply or Simply Light Orange Juice,Simply,5.99,52 oz.,52.0,52.0,oz,each,flyer_everyday_price,Every Day,0.75,candidate,
62649f258cb6,1c9d1bc01860,Safeway_2026-06-17_safeway_6-17_-_6-23,Albertsons,Safeway,bay_area,2026-06-17,2026-06-23,safeway 6-17 - 6-23.pdf,Simply or Simply Light Orange Juice,Simply Light Orange Juice,5.99,52 oz.,52.0,52.0,oz,each,flyer_everyday_price,Every Day,0.75,candidate,
