source_file,parent_company,banner,region,representative_store_id,week_start,week_end,notes
vons 5-6 - 5-12.pdf,Albertsons,Vons,southern_california,,2026-05-06,2026-05-12,
vons 5-13 - 5-19.pdf,Albertsons,Vons,southern_california,,2026-05-13,2026-05-19,
vons 5-20 - 5-26.pdf,Albertsons,Vons,southern_california,,2026-05-20,2026-05-26,
vons 6-3 - 6-9.pdf,Albertsons,Vons,southern_california,,2026-06-03,2026-06-09,
vons 6-10 - 6-16.pdf,Albertsons,Vons,southern_california,,2026-06-10,2026-06-16,
vons 6-17 - 6-23.pdf,Albertsons,Vons,southern_california,,2026-06-17,2026-06-23,
vons 6-24 - 6-30.pdf,Albertsons,Vons,southern_california,,2026-06-24,2026-06-30,
vons 7-1 - 7-7.pdf,Albertsons,Vons,southern_california,,2026-07-01,2026-07-07,
