week_start,week_end,market,market_display_name,retailer,canonical_product_id,canonical_category_id,department,category,canonical_name,ad_item_name,brand,raw_ad_text,page_number,deal_type,is_five_dollar_friday,deal_price,size,quantity,normalized_unit,normalized_unit_price,costco_match_name,costco_price,costco_size,costco_unit_price,percent_difference_vs_costco,costco_match_type,costco_match_confidence,market_all_time_low_unit_price,market_90_day_low_unit_price,market_median_unit_price,historical_benchmark_bucket,deal_bucket,content_score,confidence,script_angle,notes,skip_reason
2026-06-17,2026-06-23,socal_oc,SoCal / Orange County,Vons / Albertsons,avocados,,Produce,avocados,Hass Avocados,Large Hass Avocados,,Large Hass Avocados 3 for $5,4,multi-buy,False,1.67,,,each,1.67,AVOCADOS HASS VARIETY 6 COUNT,8.99,AVOCADOS HASS VARIETY 6 COUNT,1.4983,-11.46,exact brand,medium,1.5,1.5,1.5,insufficient history,Not a Costco win,4,medium,"This sounds good, but Costco still wins per unit, so I would skip it for the video.",Category-first Hass avocados,Costco clearly cheaper
2026-06-17,2026-06-23,socal_oc,SoCal / Orange County,Vons / Albertsons,,ritz_crackers_snacks,Snacks,crackers,Ritz Crackers & Snacks,Ritz Crackers 5 to 13 oz,Ritz,"Lay's Potato Chips, Fritos, Ruffles or Ritz Crackers 5 to 13 oz 2.49 ea",1,regular_sale,False,2.49,5 to 13 oz,,oz,2.49,,,,,,no comp,low,,,,insufficient history,Skip / not worth highlighting,5,medium,crackers variety vs Costco bulk,Deal family. Static Costco Ritz reference,too hard to explain
