week_start,week_end,market,market_display_name,retailer,canonical_product_id,canonical_category_id,department,category,canonical_name,ad_item_name,brand,raw_ad_text,page_number,deal_type,is_five_dollar_friday,deal_price,size,quantity,normalized_unit,normalized_unit_price,costco_match_name,costco_price,costco_size,costco_unit_price,percent_difference_vs_costco,costco_match_type,costco_match_confidence,market_all_time_low_unit_price,market_90_day_low_unit_price,market_median_unit_price,historical_benchmark_bucket,deal_bucket,content_score,confidence,script_angle,notes
2026-06-17,2026-06-23,bay_area,Bay Area,Safeway,nature_valley_bars,,Snacks,snack bars,Nature Valley Bars,"Betty Crocker Fruit Snacks 5 to 10 ct, Nature Valley Bars 5 to 12 ct",Nature Valley,"Betty Crocker Fruit Snacks 5 to 10 ct, Nature Valley Bars 5 to 12 ct 2 for $5 Member Price",4,$5 Friday,True,5.0,"5 to 10 ct, 5 to 12 ct",,bar,1.0,,,,,,no comp,low,1.79,1.79,1.89,all-time low,"No Costco comp, but historically strong market price",15,medium,"This is not a perfect Costco comparison, but it is near the lowest price we have tracked for this category.",Category-first snack bars
2026-06-17,2026-06-23,bay_area,Bay Area,Safeway,strawberries,,Produce,berries,Strawberries,Strawberries,,Strawberries 5.00 ea Member Price,4,$5 Friday,True,5.0,,,lb,5.0,STRAWBERRIES 2 LBS,5.49,STRAWBERRIES 2 LBS,2.745,-82.15,exact brand,medium,2.5,2.5,4.99,normal sale,Not a Costco win,8,medium,"This sounds good, but Costco still wins per unit, so I would skip it for the video.",Broad berries category — strawberries anchor
2026-06-17,2026-06-23,bay_area,Bay Area,Safeway,fage_greek_yogurt,,Dairy,Greek yogurt tubs,Fage Greek Yogurt,Fage Greek Yogurt,Fage,Fage Greek Yogurt 4.5 oz 10/$5 Member Price,2,multi-buy,False,0.5,4.5 oz,,oz,0.5,FAGE TOTAL GREEK NONFAT YOGURT 48 OUNCES,7.79,FAGE TOTAL GREEK NONFAT YOGURT 48 OUNCES,0.1623,90.39,category benchmark only,medium,5.0,5.0,5.495,all-time low,Clear win vs Costco,17,high,"Safeway is actually cheaper than Costco here, and you do not need to buy the giant bulk pack.",Plain Greek yogurt tubs
2026-06-17,2026-06-23,bay_area,Bay Area,Safeway,eggs_18_count,,Protein,eggs,"Eggs, 18-count",Happy Egg Free Range Eggs 12 ct,,Happy Egg Free Range Eggs 12 ct $7.49 Member Price,7,member price,False,7.49,12 ct,,egg,7.49,KIRKLAND SIGNATURE CAGE FREE LARGE EGGS USDA GRADE AA 5 DOZEN,11.99,KIRKLAND SIGNATURE CAGE FREE LARGE EGGS USDA GRADE AA 5 DOZEN,11.99,96.53,different brand same category,medium,0.58,0.58,4.49,weak sale,Clear win vs Costco,14,medium,"Safeway is actually cheaper than Costco here, and you do not need to buy the giant bulk pack.",18-count egg anchor
2026-06-17,2026-06-23,bay_area,Bay Area,Safeway,frito_lay_multipack_chips,,Snacks,party chips,Frito-Lay Multipack Chips,Frito-Lay Variety Pack,,Frito-Lay Variety Pack 18 ct. Selected varieties. Digital Coupon Final Price 8.99,8,digital coupon,False,8.99,18 ct,,bag,8.99,FRITO LAY SELECT MIX VARIETY 30 PACK,19.49,FRITO LAY SELECT MIX VARIETY 30 PACK,0.6497,,exact brand,low,8.99,8.99,10.99,all-time low,"No Costco comp, but historically strong market price",9,medium,"This is not a perfect Costco comparison, but it is near the lowest price we have tracked for this category.",Multipack variety vs Costco bulk
2026-06-17,2026-06-23,bay_area,Bay Area,Safeway,avocados,,Produce,avocados,Hass Avocados,Hass Avocados,,Hass Avocados Each 2/$4 Member Price Every Day,2,multi-buy,False,2.0,Each,,each,2.0,AVOCADOS HASS VARIETY 6 COUNT,8.99,AVOCADOS HASS VARIETY 6 COUNT,1.4983,-33.48,exact brand,medium,0.97,0.97,1.46,weak sale,Not a Costco win,6,high,"This sounds good, but Costco still wins per unit, so I would skip it for the video.",Category-first Hass avocados
2026-06-17,2026-06-23,bay_area,Bay Area,Safeway,doritos_nacho_cheese,,Snacks,chips,Doritos Nacho Cheese,"Ruffles, Doritos, SunChips",Doritos,"Ruffles, Doritos, SunChips or PopCorners 4.5-8.25 oz Selected varieties 2.49 EA MEMBER PRICE",1,member price,False,2.49,4.5-8.25 oz,,oz,2.49,DORITOS NACHO CHEESE 30 OUNCES,6.99,DORITOS NACHO CHEESE 30 OUNCES,0.233,-15.54,exact brand,high,1.99,1.99,2.24,weak sale,Not a Costco win,4,medium,"This sounds good, but Costco still wins per unit, so I would skip it for the video.",Represents party chips category
2026-06-17,2026-06-23,bay_area,Bay Area,Safeway,grapes,,Produce,grapes,Grapes,Red Seedless Grapes,,Green or Red Seedless Grapes 4.99 lb Member Price Every Day,2,member price,False,4.99,,,lb,4.99,ORGANIC GREEN SEEDLESS GRAPES 3 LBS,8.49,ORGANIC GREEN SEEDLESS GRAPES 3 LBS,2.83,-76.33,exact brand,medium,1.99,1.99,2.49,weak sale,Not a Costco win,4,medium,"This sounds good, but Costco still wins per unit, so I would skip it for the video.",Broad grapes category
