week_start,week_end,market,market_display_name,retailer,canonical_product_id,canonical_category_id,department,category,canonical_name,ad_item_name,brand,raw_ad_text,page_number,deal_type,is_five_dollar_friday,deal_price,size,quantity,normalized_unit,normalized_unit_price,costco_match_name,costco_price,costco_size,costco_unit_price,percent_difference_vs_costco,costco_match_type,costco_match_confidence,market_all_time_low_unit_price,market_90_day_low_unit_price,market_median_unit_price,historical_benchmark_bucket,deal_bucket,content_score,confidence,script_angle,notes,skip_reason
2026-06-17,2026-06-23,bay_area,Bay Area,Safeway,strawberries,,Produce,berries,Strawberries,Strawberries,,Strawberries 5.00 ea Member Price,4,$5 Friday,True,5.0,,,lb,5.0,STRAWBERRIES 2 LBS,5.49,STRAWBERRIES 2 LBS,2.745,-82.15,exact brand,medium,2.5,2.5,4.99,normal sale,Not a Costco win,8,medium,"This sounds good, but Costco still wins per unit, so I would skip it for the video.",Broad berries category — strawberries anchor,Costco clearly cheaper
2026-06-17,2026-06-23,bay_area,Bay Area,Safeway,avocados,,Produce,avocados,Hass Avocados,Hass Avocados,,Hass Avocados Each 2/$4 Member Price Every Day,2,multi-buy,False,2.0,Each,,each,2.0,AVOCADOS HASS VARIETY 6 COUNT,8.99,AVOCADOS HASS VARIETY 6 COUNT,1.4983,-33.48,exact brand,medium,0.97,0.97,1.46,weak sale,Not a Costco win,6,high,"This sounds good, but Costco still wins per unit, so I would skip it for the video.",Category-first Hass avocados,Costco clearly cheaper
2026-06-17,2026-06-23,bay_area,Bay Area,Safeway,doritos_nacho_cheese,,Snacks,chips,Doritos Nacho Cheese,"Ruffles, Doritos, SunChips",Doritos,"Ruffles, Doritos, SunChips or PopCorners 4.5-8.25 oz Selected varieties 2.49 EA MEMBER PRICE",1,member price,False,2.49,4.5-8.25 oz,,oz,2.49,DORITOS NACHO CHEESE 30 OUNCES,6.99,DORITOS NACHO CHEESE 30 OUNCES,0.233,-15.54,exact brand,high,1.99,1.99,2.24,weak sale,Not a Costco win,4,medium,"This sounds good, but Costco still wins per unit, so I would skip it for the video.",Represents party chips category,Costco clearly cheaper
2026-06-17,2026-06-23,bay_area,Bay Area,Safeway,grapes,,Produce,grapes,Grapes,Red Seedless Grapes,,Green or Red Seedless Grapes 4.99 lb Member Price Every Day,2,member price,False,4.99,,,lb,4.99,ORGANIC GREEN SEEDLESS GRAPES 3 LBS,8.49,ORGANIC GREEN SEEDLESS GRAPES 3 LBS,2.83,-76.33,exact brand,medium,1.99,1.99,2.49,weak sale,Not a Costco win,4,medium,"This sounds good, but Costco still wins per unit, so I would skip it for the video.",Broad grapes category,Costco clearly cheaper
2026-06-17,2026-06-23,bay_area,Bay Area,Safeway,kettle_brand_chips,,Snacks,chips,Kettle Brand Chips,Kettle Cooked Chips,,Lay's Potato Chips or Kettle Cooked Chips BUY 1 GET 1 FREE Member Price,2,buy-X-get-Y,False,,,,oz,,,,,,,no comp,low,1.99,1.99,5.0,insufficient history,Skip / not worth highlighting,1,low,premium potato chips,Kettle Brand anchor for premium chips,unclear size
